N_CTX,Triton [FP16],Triton [FP8],Flash-2
1024.000000,76.448692,76.262769,102.150345
2048.000000,87.405316,87.335853,126.365421
4096.000000,93.876056,93.697957,141.348780
8192.000000,98.061298,97.979928,146.208662
16384.000000,102.667900,102.687769,151.983127
